"Year","Month","Month_N","Quarter","Trading_Days","Avg_Close","Max_Close","Min_Close","Avg_Volume","Avg_Daily_Return","MoM_Return_Pct"
1995,"February",2,"Q1",19,481.92,488.11,470.4,333163158,0.1879,3.61
1995,"March",3,"Q1",23,493.15,503.9,482.12,338800000,0.1189,3.1
1995,"April",4,"Q2",19,507.91,514.71,501.85,331948947,0.1365,2.56
1995,"May",5,"Q2",22,523.81,533.4,514.26,343440455,0.1634,3.72
1995,"June",6,"Q2",22,539.35,551.07,527.94,343438636,0.0941,2.11
1995,"July",7,"Q3",20,557.37,565.22,547.09,365398000,0.1743,2.74
1995,"August",8,"Q3",23,559.11,561.88,555.11,310722609,-0.0023,0.4
1995,"September",9,"Q3",20,578.77,586.77,563.84,352641500,0.1973,3.65
1995,"October",10,"Q4",22,582.92,590.65,576.72,365605455,-0.0216,-0.04
1995,"November",11,"Q4",21,595.53,607.64,584.22,362007143,0.1929,3.62
1995,"December",12,"Q4",20,614.57,621.69,605.94,384877000,0.0884,1.47
1996,"January",1,"Q1",22,614.42,636.02,598.48,417638636,0.149,2.46
1996,"February",2,"Q1",20,649.54,661.45,635.84,437498000,0.0377,0.31
1996,"March",3,"Q1",21,647.07,655.79,633.5,427819048,0.0417,0.18
1996,"April",4,"Q2",21,647.17,655.88,631.18,422646667,0.0659,0.07
1996,"May",5,"Q2",22,661.23,678.51,638.26,405506364,0.1053,2.22
1996,"June",6,"Q2",20,668.5,678.44,661.96,396542000,0.0123,0.44
1996,"July",7,"Q3",22,644.07,675.88,626.65,402266364,-0.2023,-5.32
1996,"August",8,"Q3",22,662.68,670.68,650.02,335469091,0.0873,0.3
1996,"September",9,"Q3",20,674.89,687.33,649.44,403203500,0.2656,4.98
1996,"October",10,"Q4",23,701.46,710.82,689.08,421898696,0.1098,2.35
1996,"November",11,"Q4",20,735.67,757.03,703.77,438192500,0.3558,7.57
1996,"December",12,"Q4",21,743.25,756.79,720.98,432817619,-0.0997,-2.09
1997,"January",1,"Q1",22,766.22,786.23,737.01,528901364,0.2736,6.67
1997,"February",2,"Q1",19,798.38,816.29,778.28,511364737,0.0345,0.52
1997,"March",3,"Q1",20,792.16,813.65,757.12,506038000,-0.2127,-4.8
1997,"April",4,"Q2",22,763.93,801.34,737.65,475221818,0.2648,5.49
1997,"May",5,"Q2",21,833.09,849.71,798.53,481269048,0.2761,6.23
1997,"June",6,"Q2",21,876.29,898.7,840.11,517045238,0.2071,4.58
1997,"July",7,"Q3",22,925.29,954.31,891.03,543550909,0.3466,7.1
1997,"August",8,"Q3",21,927.74,960.32,899.47,505052381,-0.2759,-5.03
1997,"September",9,"Q3",21,937.02,955.43,912.59,542047619,0.2528,2.12
1997,"October",10,"Q4",23,951.16,983.12,876.99,609446087,-0.1318,-4.27
1997,"November",11,"Q4",19,938.92,963.09,905.96,535453684,0.2366,1.75
1997,"December",12,"Q4",22,962.37,983.79,932.7,543585455,0.076,-0.45
1998,"January",1,"Q1",20,963.36,985.49,927.69,636691500,0.0567,0.54
1998,"February",2,"Q1",19,1023.74,1049.34,1001.27,613502632,0.3611,4.8
1998,"March",3,"Q1",22,1076.83,1105.65,1035.05,623617727,0.2243,5.16
1998,"April",4,"Q2",21,1112.2,1130.54,1085.11,650288571,0.0468,0.32
1998,"May",5,"Q2",20,1108.42,1122.07,1090.82,573857000,-0.0926,-2.69
1998,"June",6,"Q2",22,1108.39,1138.49,1077.01,615998636,0.1794,3.93
1998,"July",7,"Q3",22,1156.58,1186.75,1120.67,645218182,-0.0481,-2.43
